sample_id,Al2O3,SiO2,Li2O,ZrO2,P2O5,Na2O,TiO2,K2O,MgO,ZnO,BaO,CaO,SnO2,Fe2O3,As2O3,Sb2O3,B2O3,SrO,Ta2O5,Nd2O3,V2O5,CeO2,CoO,Cl,MnO2,MoO3,F,La2O3,Cr2O3,T_nucleation,t1,T_crystal,t2,¦Â?quartz s.s,¦Â?spodumene,Li2Si2O5(LD),Petalite,Li2SiO3(LM),Keatite,LiAlSi3O8,LiAlSi2O6,KMK,Cristobalite,Li4SiO4,Mullite,Tridymite
1,7.5948426846608434,73.9100180532448,11.503871105599314,4.234562150330572,2.1046738608556748,0.05406082350282,0,0.1478953409670565,0,0,0,0,0.3943614090082288,0.0557145718306894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,4,725,1.5,0,0,1,1,0,0,0,0,0,0,0,0,0
2,7.5948426846608434,73.9100180532448,11.503871105599314,4.234562150330572,2.1046738608556748,0.05406082350282,0,0.1478953409670565,0,0,0,0,0.3943614090082288,0.0557145718306894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,4,730,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3,7.5948426846608434,73.9100180532448,11.503871105599314,4.234562150330572,2.1046738608556748,0.05406082350282,0,0.1478953409670565,0,0,0,0,0.3943614090082288,0.0557145718306894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,4,730,1,0,0,1,1,0,0,0,0,0,0,0,0,0
4,7.5948426846608434,73.9100180532448,11.503871105599314,4.234562150330572,2.1046738608556748,0.05406082350282,0,0.1478953409670565,0,0,0,0,0.3943614090082288,0.0557145718306894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,3,730,1,0,0,1,1,0,0,0,0,0,0,0,0,0
5,7.5948426846608434,73.9100180532448,11.503871105599314,4.234562150330572,2.1046738608556748,0.05406082350282,0,0.1478953409670565,0,0,0,0,0.3943614090082288,0.0557145718306894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,2.75,740,1,0,0,1,1,0,0,0,0,0,0,0,0,0
6,7.5948426846608434,73.9100180532448,11.503871105599314,4.234562150330572,2.1046738608556748,0.05406082350282,0,0.1478953409670565,0,0,0,0,0.3943614090082288,0.0557145718306894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,2.75,740,2,0,0,1,1,0,0,0,0,0,0,0,0,0
7,7.5948426846608434,73.9100180532448,11.503871105599314,4.234562150330572,2.1046738608556748,0.05406082350282,0,0.1478953409670565,0,0,0,0,0.3943614090082288,0.0557145718306894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,2,740,1,0,0,1,1,0,0,0,0,0,0,0,0,0
8,7.5948426846608434,73.9100180532448,11.503871105599314,4.234562150330572,2.1046738608556748,0.05406082350282,0,0.1478953409670565,0,0,0,0,0.3943614090082288,0.0557145718306894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,2,750,1,0,0,1,1,0,0,0,0,0,0,0,0,0
9,7.5948426846608434,73.9100180532448,11.503871105599314,4.234562150330572,2.1046738608556748,0.05406082350282,0,0.1478953409670565,0,0,0,0,0.3943614090082288,0.0557145718306894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,3,755,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0
10,7.5948426846608434,73.9100180532448,11.503871105599314,4.234562150330572,2.1046738608556748,0.05406082350282,0,0.1478953409670565,0,0,0,0,0.3943614090082288,0.0557145718306894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,2,755,0.25,0,0,1,1,0,0,0,0,0,0,0,0,0
11,7.5948426846608434,73.9100180532448,11.503871105599314,4.234562150330572,2.1046738608556748,0.05406082350282,0,0.1478953409670565,0,0,0,0,0.3943614090082288,0.0557145718306894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,4,755,1.5,0,0,1,1,0,0,0,0,0,0,0,0,0
12,7.5948426846608434,73.9100180532448,11.503871105599314,4.234562150330572,2.1046738608556748,0.05406082350282,0,0.1478953409670565,0,0,0,0,0.3943614090082288,0.0557145718306894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,4,755,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0
13,7.5948426846608434,73.9100180532448,11.503871105599314,4.234562150330572,2.1046738608556748,0.05406082350282,0,0.1478953409670565,0,0,0,0,0.3943614090082288,0.0557145718306894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,2,755,0.75,0,0,1,1,0,0,0,0,0,0,0,0,0
14,7.5948426846608434,73.9100180532448,11.503871105599314,4.234562150330572,2.1046738608556748,0.05406082350282,0,0.1478953409670565,0,0,0,0,0.3943614090082288,0.0557145718306894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,1.5,755,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0
15,26.317218178127096,60.635828427249805,1.083205243467417,0.5360343377512256,0,0.3595023346190657,5.559235521011575,0,1.5782169890664433,1.0619326585655875,0,0,0,0,2.8688263101418183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,1,850,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16,26.823378743116606,56.74916850727606,1.4634383889359692,1.0345661404744126,0,0.3469264155526921,3.911808036289019,0,1.240970005810094,1.707974493799768,2.145620655723391,0,0,0,0,4.0793799879768,0,0,0,0,0,0,0,0.496768625045199,0,0,0,0,0,780,1,850,1,1,0,0,0,0,0,0,0,0,0,0,0,0
17,30.932920256697628,54.02192373859982,1.7227755718836266,3.890521878986191,2.7279201770767725,0.4254224435254796,2.0832246554476312,0.3879457326243967,0.2766824572202659,0,0,0,0,0,3.5306630879382106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,1,850,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18,30.932920256697628,54.02192373859982,1.7227755718836266,3.890521878986191,2.7279201770767725,0.4254224435254796,2.0832246554476312,0.3879457326243967,0.2766824572202659,0,0,0,0,0,3.5306630879382106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,2,850,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19,30.932920256697628,54.02192373859982,1.7227755718836266,3.890521878986191,2.7279201770767725,0.4254224435254796,2.0832246554476312,0.3879457326243967,0.2766824572202659,0,0,0,0,0,3.5306630879382106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,2,840,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20,30.932920256697628,54.02192373859982,1.7227755718836266,3.890521878986191,2.7279201770767725,0.4254224435254796,2.0832246554476312,0.3879457326243967,0.2766824572202659,0,0,0,0,0,3.5306630879382106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,2,830,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21,30.932920256697628,54.02192373859982,1.7227755718836266,3.890521878986191,2.7279201770767725,0.4254224435254796,2.0832246554476312,0.3879457326243967,0.2766824572202659,0,0,0,0,0,3.5306630879382106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,2,890,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22,30.00295618072299,50.10482237150784,1.9043770459347087,3.676024289499592,2.8871579712463964,0.67238194939778,2.3827630255018057,0.7664373140521645,0.5466222245124336,0.8827318364391313,2.495070772051346,0,3.6786550191338128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,1,850,1,1,0,0,0,0,0,0,0,0,0,0,0,0
23,28.076854284540858,50.02682902906189,1.4105303021163724,3.231547371463249,0,0.6501908978519466,2.9325204023882288,0.4940947287645481,0.1585745104816794,1.493797327797234,5.026509073876603,0,0,0,0,6.498552071657373,0,0,0,0,0,0,0,0,0,0,0,0,0,780,1,850,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24,28.372215757956155,52.601630298156806,1.2167781820432644,4.181487271066795,2.8900517931596537,0.4206599270584645,2.05990338531472,0.3836027602023946,1.149057227667831,0.8836166057372639,2.0813096681469627,0,0,0,3.759687123489682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,1,850,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25,21.25725726152256,67.84075364276445,2.500921828768271,2.062674616739132,0,0,1.7016434042181483,0,0.9201547911432,2.9718876846567976,0,0,0,0,0.3010723954019196,0.4436343747855216,0,0,0,0,0,0,0,0,0,0,0,0,0,700,2,850,2,0,1,0,0,0,0,0,0,0,0,0,0,0
26,17.075626577077674,72.33123027344519,2.5964755617046875,2.3361644301807343,0,0,1.766658782759491,0,3.1206842915440443,0,0,0,0,0,0.3125755903174245,0.4605844929707621,0,0,0,0,0,0,0,0,0,0,0,0,0,700,2,850,2,0,1,0,0,0,0,0,0,0,0,0,0,0
27,15.205228157587838,74.53700494014758,2.2279924350172844,2.345836348310944,0,0,1.773972899390204,0,3.133604188186641,0,0,0,0,0,0.3138696796717505,0.4624913516877715,0,0,0,0,0,0,0,0,0,0,0,0,0,700,2,850,2,0,1,0,0,0,0,0,0,0,0,0,0,0
28,29.949101267942137,51.01740052503588,1.7553533658024931,3.4548706009019776,1.705605536295221,0.413764153631338,1.8128584387192463,0.7546289113663512,0,0.4345658493834395,6.755731214319686,0,0,0,0,1.946120136602253,0,0,0,0,0,0,0,0,0,0,0,0,0,780,2,900,3,1,1,0,0,0,0,0,0,0,0,0,0,0
29,29.949101267942137,51.01740052503588,1.7553533658024931,3.4548706009019776,1.705605536295221,0.413764153631338,1.8128584387192463,0.7546289113663512,0,0.4345658493834395,6.755731214319686,0,0,0,0,1.946120136602253,0,0,0,0,0,0,0,0,0,0,0,0,0,780,2,1160,1,0,1,0,0,0,0,0,0,0,0,0,0,0
30,28.17326135899203,55.41963793150614,1.6019776034919844,2.032701887573704,0,0.5964318839898332,2.5253568782744744,0.9064840831210434,0.332487473981886,0,4.426471479775467,0,0.6215478442546519,0,1.3598635957284448,2.0037779793103323,0,0,0,0,0,0,0,0,0,0,0,0,0,780,2,900,3,1,1,0,0,0,0,0,0,0,0,0,0,0
31,28.17326135899203,55.41963793150614,1.6019776034919844,2.032701887573704,0,0.5964318839898332,2.5253568782744744,0.9064840831210434,0.332487473981886,0,4.426471479775467,0,0.6215478442546519,0,1.3598635957284448,2.0037779793103323,0,0,0,0,0,0,0,0,0,0,0,0,0,780,2,1160,1,0,1,0,0,0,0,0,0,0,0,0,0,0
32,25.54201160151909,52.91490936016551,1.3788604268375972,3.249248074104584,2.4328751547229595,0.3268761493799743,2.316743938050694,0.3726008382332233,0,0,6.469173279694283,0,0,0,0,4.996701177292075,0,0,0,0,0,0,0,0,0,0,0,0,0,780,2,1160,1,1,1,0,0,0,0,0,0,0,0,0,0,0
33,25.54201160151909,52.91490936016551,1.3788604268375972,3.249248074104584,2.4328751547229595,0.3268761493799743,2.316743938050694,0.3726008382332233,0,0,6.469173279694283,0,0,0,0,4.996701177292075,0,0,0,0,0,0,0,0,0,0,0,0,0,780,2,1160,1,0,1,0,0,0,0,0,0,0,0,0,0,0
