SiO2,Al2O3,Li2O,MgO,ZnO,P2O5,melting_temp_c,nucleation_temp_c,crystallization_temp_c,heat_treatment_h,transmittance_pct,strength_mpa,cte_1e6_k,crystal_size_um,img_mean,img_std,img_bright_ratio
65,18,4.5,2.0,3.0,1.5,1450,560,820,3.0,72.1,151.2,3.12,1.92,112,40,0.18
63,20,5.0,1.5,2.5,1.2,1480,580,850,4.0,68.8,165.4,3.36,2.12,118,45,0.20
67,16,4.0,2.5,2.0,1.0,1420,540,790,2.5,75.5,142.7,2.86,1.71,105,38,0.16
61,21,5.5,2.2,3.5,1.8,1510,610,880,5.0,65.9,178.8,3.63,2.42,125,50,0.23
69,15,3.5,1.8,2.8,1.1,1400,520,760,2.0,79.0,133.5,2.68,1.48,98,35,0.13
64,19,4.8,2.8,2.2,1.6,1460,570,830,3.5,70.4,160.1,3.20,2.04,114,43,0.19
62,22,5.2,2.0,3.2,1.4,1490,600,870,4.5,66.7,181.3,3.48,2.31,121,47,0.21
66,17,4.2,2.4,2.6,1.3,1435,550,805,3.0,74.0,148.8,2.98,1.82,108,39,0.17
60,23,5.8,2.6,3.8,1.9,1530,630,910,6.0,62.5,192.5,3.86,2.77,132,54,0.26
68,16,3.8,1.6,2.4,1.0,1410,530,775,2.2,77.1,137.9,2.75,1.59,101,36,0.15
63,19,4.6,2.1,3.1,1.7,1475,575,840,3.8,69.5,158.4,3.29,2.18,116,44,0.20
65,18,5.1,2.3,2.7,1.2,1465,565,835,3.2,71.8,156.7,3.25,2.00,111,41,0.18
